,文件名称,采样频率,采样点,音频时长,音频文件大小
99,F004_003.wav,16000,73600,4.6,143.75
100,F004_038.wav,16000,129600,8.1,253.125
101,F004_061.wav,16000,86400,5.4,168.75
102,F004_006.wav,16000,90400,5.65,176.5625
103,F004_010.wav,16000,108000,6.75,210.9375
104,F004_032.wav,16000,72000,4.5,140.625
105,F004_048.wav,16000,124000,7.75,242.1875
106,F004_050.wav,16000,66400,4.15,129.6875
107,F004_055.wav,16000,96800,6.05,189.0625
108,F004_008.wav,16000,98400,6.15,192.1875
109,F004_046.wav,16000,120000,7.5,234.375
110,F004_040.wav,16000,69600,4.35,135.9375
111,F004_054.wav,16000,76000,4.75,148.4375
112,F004_043.wav,16000,136000,8.5,265.625
113,F004_004.wav,16000,92800,5.8,181.25
114,F004_042.wav,16000,93600,5.85,182.8125
115,F004_039.wav,16000,115200,7.2,225.0
116,F004_056.wav,16000,127200,7.95,248.4375
117,F004_047.wav,16000,96000,6.0,187.5
118,F004_005.wav,16000,81600,5.1,159.375
119,F004_031.wav,16000,92000,5.75,179.6875
120,F004_037.wav,16000,117600,7.35,229.6875
121,F004_053.wav,16000,127200,7.95,248.4375
122,F004_036.wav,16000,136800,8.55,267.1875
123,F004_009.wav,16000,72000,4.5,140.625
124,F004_057.wav,16000,96000,6.0,187.5
125,F004_059.wav,16000,132800,8.3,259.375
126,F004_051.wav,16000,94400,5.9,184.375
127,F009_015.wav,16000,439773,27.4858125,858.931640625
128,F009_018.wav,16000,243480,15.2175,475.546875
129,F009_023.wav,16000,104011,6.5006875,203.146484375
130,F009_026.wav,16000,94035,5.8771875,183.662109375
131,F009_005.wav,16000,84604,5.28775,165.2421875
132,F009_021.wav,16000,171398,10.712375,334.76171875
133,F009_011.wav,16000,255480,15.9675,498.984375
134,F009_009.wav,16000,97667,6.1041875,190.755859375
135,F009_014.wav,16000,122356,7.64725,238.9765625
136,F009_029.wav,16000,82511,5.1569375,161.154296875
137,F009_025.wav,16000,58220,3.63875,113.7109375
138,F009_008.wav,16000,228508,14.28175,446.3046875
139,F009_012.wav,16000,70705,4.4190625,138.095703125
140,F009_007.wav,16000,255827,15.9891875,499.662109375
141,F009_010.wav,16000,356560,22.285,696.40625
142,F009_030.wav,16000,394710,24.669375,770.91796875
143,F009_027.wav,16000,96489,6.0305625,188.455078125
144,F009_019.wav,16000,246230,15.389375,480.91796875
145,F009_016.wav,16000,401020,25.06375,783.2421875
146,F009_020.wav,16000,195129,12.1955625,381.111328125
147,F009_022.wav,16000,186960,11.685,365.15625
148,F009_024.wav,16000,116077,7.2548125,226.712890625
149,F009_004.wav,16000,105600,6.6,206.25
150,F009_017.wav,16000,330960,20.685,646.40625
151,F009_001.wav,16000,76587,4.7866875,149.583984375
152,F009_028.wav,16000,150883,9.4301875,294.693359375
153,F009_002.wav,16000,69275,4.3296875,135.302734375
154,F009_006.wav,16000,217397,13.5873125,424.603515625
155,F009_003.wav,16000,131518,8.219875,256.87109375
156,F009_013.wav,16000,145096,9.0685,283.390625
157,F096_018.wav,16000,120476,7.52975,235.3046875
158,F096_008.wav,16000,114824,7.1765,224.265625
159,F096_005.wav,16000,341139,21.3211875,666.287109375
160,F096_003.wav,16000,203106,12.694125,396.69140625
161,F096_002.wav,16000,380172,23.76075,742.5234375
162,F096_016.wav,16000,92483,5.7801875,180.630859375
163,F096_009.wav,16000,102303,6.3939375,199.810546875
164,F096_004.wav,16000,238724,14.92025,466.2578125
165,F096_007.wav,16000,116267,7.2666875,227.083984375
166,F096_006.wav,16000,202645,12.6653125,395.791015625
167,F096_015.wav,16000,95911,5.9944375,187.326171875
168,F096_013.wav,16000,147018,9.188625,287.14453125
169,F096_014.wav,16000,177412,11.08825,346.5078125
170,F096_017.wav,16000,105909,6.6193125,206.853515625
171,F096_021.wav,16000,116474,7.279625,227.48828125
172,F096_022.wav,16000,157362,9.835125,307.34765625
173,F096_001.wav,16000,108509,6.7818125,211.931640625
174,F096_010.wav,16000,135473,8.4670625,264.595703125
175,F096_020.wav,16000,136380,8.52375,266.3671875
176,F096_011.wav,16000,159169,9.9480625,310.876953125
177,F096_012.wav,16000,165605,10.3503125,323.447265625
178,F096_019.wav,16000,128713,8.0445625,251.392578125
179,M056_003.wav,16000,88030,5.501875,171.93359375
180,M056_008.wav,16000,96594,6.037125,188.66015625
181,M056_015.wav,16000,102626,6.414125,200.44140625
182,M056_002.wav,16000,105678,6.604875,206.40234375
183,M056_011.wav,16000,107620,6.72625,210.1953125
184,M056_001.wav,16000,92437,5.7773125,180.541015625
185,M056_006.wav,16000,109301,6.8313125,213.478515625
186,M056_005.wav,16000,95389,5.9618125,186.306640625
187,M056_014.wav,16000,85192,5.3245,166.390625
188,M056_009.wav,16000,101243,6.3276875,197.740234375
189,M056_007.wav,16000,106300,6.64375,207.6171875
190,M056_013.wav,16000,98981,6.1863125,193.322265625
191,M056_004.wav,16000,67292,4.20575,131.4296875
192,M056_012.wav,16000,96702,6.043875,188.87109375
193,M056_010.wav,16000,101347,6.3341875,197.943359375
194,M024_011.wav,16000,72349,4.5218125,141.306640625
195,M024_013.wav,16000,82405,5.1503125,160.947265625
196,M024_007.wav,16000,91499,5.7186875,178.708984375
197,M024_010.wav,16000,56009,3.5005625,109.392578125
198,M024_012.wav,16000,97629,6.1018125,190.681640625
199,M024_001.wav,16000,66861,4.1788125,130.587890625
200,M024_002.wav,16000,97879,6.1174375,191.169921875
201,M024_009.wav,16000,95253,5.9533125,186.041015625
202,M024_014.wav,16000,80430,5.026875,157.08984375
203,M024_004.wav,16000,105576,6.5985,206.203125
204,M024_008.wav,16000,85114,5.319625,166.23828125
205,M024_006.wav,16000,96205,6.0128125,187.900390625
206,M024_003.wav,16000,94715,5.9196875,184.990234375
207,M024_005.wav,16000,85561,5.3475625,167.111328125
208,F069_005.wav,16000,178410,11.150625,348.45703125
209,F069_008.wav,16000,106496,6.656,208.0
210,F069_016.wav,16000,155999,9.7499375,304.685546875
211,F069_014.wav,16000,229190,14.324375,447.63671875
212,F069_007.wav,16000,172235,10.7646875,336.396484375
213,F069_018.wav,16000,100663,6.2914375,196.607421875
214,F069_011.wav,16000,361793,22.6120625,706.626953125
215,F069_009.wav,16000,231482,14.467625,452.11328125
216,F069_015.wav,16000,189505,11.8440625,370.126953125
217,F069_004.wav,16000,232740,14.54625,454.5703125
218,F069_006.wav,16000,258352,16.147,504.59375
219,F069_012.wav,16000,267967,16.7479375,523.373046875
220,F069_003.wav,16000,176931,11.0581875,345.568359375
221,F069_013.wav,16000,179394,11.212125,350.37890625
222,F069_010.wav,16000,340012,21.25075,664.0859375
223,F069_017.wav,16000,148602,9.287625,290.23828125
224,M093_002.wav,16000,125657,7.8535625,245.423828125
225,M093_008.wav,16000,132787,8.2991875,259.349609375
226,M093_010.wav,16000,106318,6.644875,207.65234375
227,M093_004.wav,16000,86731,5.4206875,169.396484375
228,M093_011.wav,16000,108102,6.756375,211.13671875
229,M093_007.wav,16000,133132,8.32075,260.0234375
230,M093_006.wav,16000,73427,4.5891875,143.412109375
231,M093_003.wav,16000,95535,5.9709375,186.591796875
232,M093_009.wav,16000,182257,11.3910625,355.970703125
233,M093_005.wav,16000,109412,6.83825,213.6953125
234,M093_001.wav,16000,138677,8.6673125,270.853515625
235,F039_003.wav,16000,207108,12.94425,404.5078125
236,F039_002.wav,16000,194400,12.15,379.6875
237,F039_005.wav,16000,380000,23.75,742.1875
238,F039_004.wav,16000,347787,21.7366875,679.271484375
239,F039_001.wav,16000,313600,19.6,612.5
240,F039_012.wav,16000,346004,21.62525,675.7890625
241,F039_015.wav,16000,251127,15.6954375,490.482421875
242,F039_008.wav,16000,254982,15.936375,498.01171875
243,F039_011.wav,16000,323776,20.236,632.375
244,F039_013.wav,16000,323728,20.233,632.28125
245,F039_007.wav,16000,197619,12.3511875,385.974609375
246,F039_014.wav,16000,193606,12.100375,378.13671875
247,F039_010.wav,16000,229564,14.34775,448.3671875
248,F039_009.wav,16000,236978,14.811125,462.84765625
249,F039_006.wav,16000,256305,16.0190625,500.595703125
250,F081_018.wav,16000,326986,20.436625,638.64453125
251,F081_021.wav,16000,360507,22.5316875,704.115234375
252,F081_019.wav,16000,302317,18.8948125,590.462890625
253,F081_020.wav,16000,129600,8.1,253.125
254,F065_009.wav,16000,270407,16.9004375,528.138671875
255,F065_004.wav,16000,302216,18.8885,590.265625
256,F065_011.wav,16000,333020,20.81375,650.4296875
257,F065_008.wav,16000,262068,16.37925,511.8515625
258,F065_013.wav,16000,346400,21.65,676.5625
259,F065_003.wav,16000,404000,25.25,789.0625
260,F065_001.wav,16000,378400,23.65,739.0625
261,F065_012.wav,16000,186648,11.6655,364.546875
262,F065_015.wav,16000,301760,18.86,589.375
263,F065_010.wav,16000,407200,25.45,795.3125
264,F065_007.wav,16000,297600,18.6,581.25
265,F065_006.wav,16000,227491,14.2181875,444.318359375
266,F065_002.wav,16000,230400,14.4,450.0
267,F065_014.wav,16000,231200,14.45,451.5625
268,F065_005.wav,16000,103662,6.478875,202.46484375
269,M068_006.wav,16000,114251,7.1406875,223.146484375
270,M068_007.wav,16000,156710,9.794375,306.07421875
271,M068_020.wav,16000,129821,8.1138125,253.556640625
272,M068_019.wav,16000,359549,22.4718125,702.244140625
273,M068_014.wav,16000,313200,19.575,611.71875
274,M068_002.wav,16000,135923,8.4951875,265.474609375
275,M068_013.wav,16000,204042,12.752625,398.51953125
276,M068_018.wav,16000,136906,8.556625,267.39453125
277,M068_017.wav,16000,120790,7.549375,235.91796875
278,M068_015.wav,16000,156096,9.756,304.875
279,M068_010.wav,16000,235401,14.7125625,459.767578125
280,M068_021.wav,16000,299231,18.7019375,584.435546875
281,M068_004.wav,16000,174838,10.927375,341.48046875
282,M068_009.wav,16000,160901,10.0563125,314.259765625
283,M068_016.wav,16000,234271,14.6419375,457.560546875
284,M068_011.wav,16000,50160,3.135,97.96875
285,M068_005.wav,16000,54619,3.4136875,106.677734375
286,M068_008.wav,16000,86149,5.3843125,168.259765625
287,M068_001.wav,16000,284651,17.7906875,555.958984375
288,M068_003.wav,16000,295510,18.469375,577.16796875
289,M068_012.wav,16000,40000,2.5,78.125
290,M078_003.wav,16000,106874,6.679625,208.73828125
291,M078_008.wav,16000,103615,6.4759375,202.373046875
292,M078_009.wav,16000,117142,7.321375,228.79296875
293,M078_004.wav,16000,98593,6.1620625,192.564453125
294,M078_007.wav,16000,106354,6.647125,207.72265625
295,M078_011.wav,16000,73221,4.5763125,143.009765625
296,M078_005.wav,16000,104819,6.5511875,204.724609375
297,M078_006.wav,16000,86067,5.3791875,168.099609375
298,M078_010.wav,16000,99512,6.2195,194.359375
299,M078_002.wav,16000,122326,7.645375,238.91796875
300,M080_001.wav,16000,101065,6.3165625,197.392578125
301,M080_003.wav,16000,97127,6.0704375,189.701171875
302,M080_005.wav,16000,93080,5.8175,181.796875
303,M080_002.wav,16000,113061,7.0663125,220.822265625
304,M080_004.wav,16000,97593,6.0995625,190.611328125
305,F024_008.wav,16000,155209,9.7005625,303.142578125
306,F024_003.wav,16000,113086,7.067875,220.87109375
307,F024_011.wav,16000,139115,8.6946875,271.708984375
308,F024_012.wav,16000,120383,7.5239375,235.123046875
309,F024_001.wav,16000,93897,5.8685625,183.392578125
310,F024_005.wav,16000,87752,5.4845,171.390625
311,F024_009.wav,16000,118487,7.4054375,231.419921875
312,F024_007.wav,16000,98511,6.1569375,192.404296875
313,F024_010.wav,16000,131746,8.234125,257.31640625
314,F024_002.wav,16000,115710,7.231875,225.99609375
315,F024_006.wav,16000,98126,6.132875,191.65234375
316,F024_014.wav,16000,107312,6.707,209.59375
317,F024_004.wav,16000,83027,5.1891875,162.162109375
318,F024_013.wav,16000,120000,7.5,234.375
319,M006_001.wav,16000,239013,14.9383125,466.822265625
320,M006_004.wav,16000,257681,16.1050625,503.283203125
321,M006_003.wav,16000,228218,14.263625,445.73828125
322,M006_005.wav,16000,230775,14.4234375,450.732421875
323,M006_002.wav,16000,152000,9.5,296.875
324,M052_014.wav,16000,53919,3.3699375,105.310546875
325,M052_017.wav,16000,43321,2.7075625,84.611328125
326,M052_011.wav,16000,85482,5.342625,166.95703125
327,M052_003.wav,16000,238987,14.9366875,466.771484375
328,M052_002.wav,16000,287074,17.942125,560.69140625
329,M052_012.wav,16000,117509,7.3443125,229.509765625
330,M052_006.wav,16000,130015,8.1259375,253.935546875
331,M052_005.wav,16000,178337,11.1460625,348.314453125
332,M052_013.wav,16000,45939,2.8711875,89.724609375
333,M052_015.wav,16000,53684,3.35525,104.8515625
334,M052_010.wav,16000,125150,7.821875,244.43359375
335,M052_019.wav,16000,82737,5.1710625,161.595703125
336,M052_018.wav,16000,106879,6.6799375,208.748046875
337,M052_008.wav,16000,158945,9.9340625,310.439453125
338,M052_004.wav,16000,158770,9.923125,310.09765625
339,M052_016.wav,16000,46460,2.90375,90.7421875
340,M052_007.wav,16000,105640,6.6025,206.328125
341,M052_001.wav,16000,60151,3.7594375,117.482421875
342,M052_009.wav,16000,168706,10.544125,329.50390625
343,F082_013.wav,16000,132379,8.2736875,258.552734375
344,F082_004.wav,16000,279010,17.438125,544.94140625
345,F082_016.wav,16000,247032,15.4395,482.484375
346,F082_011.wav,16000,85922,5.370125,167.81640625
347,F082_003.wav,16000,59265,3.7040625,115.751953125
348,F082_015.wav,16000,67502,4.218875,131.83984375
349,F082_014.wav,16000,71880,4.4925,140.390625
350,F082_010.wav,16000,129105,8.0690625,252.158203125
351,F082_001.wav,16000,111438,6.964875,217.65234375
352,F082_009.wav,16000,68582,4.286375,133.94921875
353,F082_008.wav,16000,67364,4.21025,131.5703125
354,F082_002.wav,16000,265436,16.58975,518.4296875
355,F082_006.wav,16000,167964,10.49775,328.0546875
356,F082_012.wav,16000,118154,7.384625,230.76953125
357,F082_007.wav,16000,101199,6.3249375,197.654296875
358,F082_005.wav,16000,101083,6.3176875,197.427734375
359,M020_018.wav,16000,66005,4.1253125,128.916015625
360,M020_016.wav,16000,188422,11.776375,368.01171875
361,M020_017.wav,16000,62957,3.9348125,122.962890625
362,M020_013.wav,16000,162593,10.1620625,317.564453125
363,M020_002.wav,16000,101737,6.3585625,198.705078125
364,M020_004.wav,16000,258410,16.150625,504.70703125
365,M020_007.wav,16000,144374,9.023375,281.98046875
366,M020_003.wav,16000,174549,10.9093125,340.916015625
367,M020_015.wav,16000,99051,6.1906875,193.458984375
368,M020_012.wav,16000,222152,13.8845,433.890625
369,M020_005.wav,16000,137525,8.5953125,268.603515625
370,M020_001.wav,16000,128629,8.0393125,251.228515625
371,M020_008.wav,16000,175748,10.98425,343.2578125
372,M020_011.wav,16000,139989,8.7493125,273.416015625
373,M020_014.wav,16000,161963,10.1226875,316.333984375
374,M020_019.wav,16000,57770,3.610625,112.83203125
375,M020_010.wav,16000,291193,18.1995625,568.736328125
376,M020_006.wav,16000,292403,18.2751875,571.099609375
377,M020_009.wav,16000,207003,12.9376875,404.302734375
378,M088_012.wav,16000,144397,9.0248125,282.025390625
379,M088_002.wav,16000,36955,2.3096875,72.177734375
380,M088_010.wav,16000,112260,7.01625,219.2578125
381,M088_008.wav,16000,127730,7.983125,249.47265625
382,M088_011.wav,16000,134373,8.3983125,262.447265625
383,M088_007.wav,16000,120377,7.5235625,235.111328125
384,M088_001.wav,16000,110373,6.8983125,215.572265625
385,M088_005.wav,16000,124446,7.777875,243.05859375
386,M088_004.wav,16000,114613,7.1633125,223.853515625
387,M088_009.wav,16000,128520,8.0325,251.015625
388,M088_006.wav,16000,118179,7.3861875,230.818359375
389,M088_003.wav,16000,109925,6.8703125,214.697265625
390,F099_012.wav,16000,153003,9.5626875,298.833984375
391,F099_008.wav,16000,157294,9.830875,307.21484375
392,F099_006.wav,16000,167089,10.4430625,326.345703125
393,F099_009.wav,16000,121661,7.6038125,237.619140625
394,F099_010.wav,16000,143825,8.9890625,280.908203125
395,F099_004.wav,16000,100467,6.2791875,196.224609375
396,F099_003.wav,16000,157586,9.849125,307.78515625
397,F099_014.wav,16000,163847,10.2404375,320.013671875
398,F099_018.wav,16000,130241,8.1400625,254.376953125
399,F099_017.wav,16000,138936,8.6835,271.359375
400,F099_013.wav,16000,149596,9.34975,292.1796875
401,F099_011.wav,16000,161475,10.0921875,315.380859375
402,F099_007.wav,16000,197831,12.3644375,386.388671875
403,F099_002.wav,16000,94849,5.9280625,185.251953125
404,F099_016.wav,16000,158705,9.9190625,309.970703125
405,F099_001.wav,16000,208417,13.0260625,407.064453125
406,F099_015.wav,16000,128788,8.04925,251.5390625
407,F099_005.wav,16000,143155,8.9471875,279.599609375
408,F064_017.wav,16000,321747,20.1091875,628.412109375
409,F064_015.wav,16000,80678,5.042375,157.57421875
410,F064_018.wav,16000,166581,10.4113125,325.353515625
411,F064_014.wav,16000,131567,8.2229375,256.966796875
412,F064_016.wav,16000,167561,10.4725625,327.267578125
413,F064_019.wav,16000,257887,16.1179375,503.685546875
414,F079_005.wav,16000,119941,7.4963125,234.259765625
415,F079_004.wav,16000,136849,8.5530625,267.283203125
416,F079_008.wav,16000,129706,8.106625,253.33203125
417,F079_006.wav,16000,124785,7.7990625,243.720703125
418,F079_003.wav,16000,131263,8.2039375,256.373046875
419,F079_001.wav,16000,109607,6.8504375,214.076171875
420,F079_007.wav,16000,119068,7.44175,232.5546875
421,F079_002.wav,16000,135753,8.4845625,265.142578125
422,F037_006.wav,16000,131477,8.2173125,256.791015625
423,F037_014.wav,16000,418308,26.14425,817.0078125
424,F037_009.wav,16000,222813,13.9258125,435.181640625
425,F037_012.wav,16000,214450,13.403125,418.84765625
426,F037_013.wav,16000,466596,29.16225,911.3203125
427,F037_004.wav,16000,212216,13.2635,414.484375
428,F037_001.wav,16000,155745,9.7340625,304.189453125
429,F037_008.wav,16000,136525,8.5328125,266.650390625
430,F037_016.wav,16000,217464,13.5915,424.734375
431,F037_010.wav,16000,142645,8.9153125,278.603515625
432,F037_017.wav,16000,186729,11.6705625,364.705078125
433,F037_005.wav,16000,404220,25.26375,789.4921875
434,F037_018.wav,16000,371813,23.2383125,726.197265625
435,F037_003.wav,16000,146915,9.1821875,286.943359375
436,F037_007.wav,16000,69527,4.3454375,135.794921875
437,F037_015.wav,16000,95888,5.993,187.28125
438,F037_011.wav,16000,171494,10.718375,334.94921875
439,M067_022.wav,16000,93445,5.8403125,182.509765625
440,M067_020.wav,16000,76586,4.786625,149.58203125
441,M067_021.wav,16000,111438,6.964875,217.65234375
442,M091_007.wav,16000,56058,3.503625,109.48828125
443,M091_010.wav,16000,141359,8.8349375,276.091796875
444,M091_005.wav,16000,112239,7.0149375,219.216796875
445,M091_016.wav,16000,201547,12.5966875,393.646484375
446,M091_012.wav,16000,135552,8.472,264.75
447,M091_014.wav,16000,177142,11.071375,345.98046875
448,M091_003.wav,16000,203617,12.7260625,397.689453125
449,M091_002.wav,16000,125045,7.8153125,244.228515625
450,M091_004.wav,16000,139810,8.738125,273.06640625
451,M091_017.wav,16000,208616,13.0385,407.453125
452,M091_020.wav,16000,119670,7.479375,233.73046875
453,M091_013.wav,16000,222517,13.9073125,434.603515625
454,M091_008.wav,16000,160346,10.021625,313.17578125
455,M091_001.wav,16000,109585,6.8490625,214.033203125
456,M091_006.wav,16000,92626,5.789125,180.91015625
457,M091_018.wav,16000,131339,8.2086875,256.521484375
458,M091_015.wav,16000,180625,11.2890625,352.783203125
459,M091_011.wav,16000,114234,7.139625,223.11328125
460,M091_009.wav,16000,140172,8.76075,273.7734375
461,F051_006.wav,16000,434857,27.1785625,849.330078125
462,F051_012.wav,16000,343137,21.4460625,670.189453125
463,F051_009.wav,16000,230277,14.3923125,449.759765625
464,F051_004.wav,16000,295255,18.4534375,576.669921875
465,F051_003.wav,16000,227209,14.2005625,443.767578125
466,F051_001.wav,16000,221484,13.84275,432.5859375
467,F051_013.wav,16000,206157,12.8848125,402.650390625
468,F051_005.wav,16000,562979,35.1861875,1099.568359375
469,F051_010.wav,16000,312307,19.5191875,609.974609375
470,F051_008.wav,16000,260638,16.289875,509.05859375
471,F051_002.wav,16000,212605,13.2878125,415.244140625
472,F051_007.wav,16000,254405,15.9003125,496.884765625
473,F051_011.wav,16000,406930,25.433125,794.78515625
474,F056_001.wav,16000,172000,10.75,335.9375
475,F056_019.wav,16000,83409,5.2130625,162.908203125
476,F059_005.wav,16000,257454,16.090875,502.83984375
477,F059_013.wav,16000,120048,7.503,234.46875
478,F059_001.wav,16000,291547,18.2216875,569.427734375
479,F059_018.wav,16000,200500,12.53125,391.6015625
480,F059_012.wav,16000,166187,10.3866875,324.583984375
481,F059_021.wav,16000,363116,22.69475,709.2109375
482,F059_011.wav,16000,209323,13.0826875,408.833984375
483,F059_003.wav,16000,708956,44.30975,1384.6796875
484,F059_014.wav,16000,80095,5.0059375,156.435546875
485,F059_022.wav,16000,214298,13.393625,418.55078125
486,F059_008.wav,16000,105987,6.6241875,207.005859375
487,F059_016.wav,16000,314298,19.643625,613.86328125
488,F059_023.wav,16000,636822,39.801375,1243.79296875
489,F059_009.wav,16000,115484,7.21775,225.5546875
490,F059_010.wav,16000,201243,12.5776875,393.052734375
491,F059_004.wav,16000,89906,5.619125,175.59765625
492,F059_019.wav,16000,100800,6.3,196.875
493,F059_017.wav,16000,180800,11.3,353.125
494,F059_007.wav,16000,251964,15.74775,492.1171875
495,F059_020.wav,16000,431311,26.9569375,842.404296875
496,F059_002.wav,16000,235548,14.72175,460.0546875
497,F059_015.wav,16000,173246,10.827875,338.37109375
498,F059_006.wav,16000,295691,18.4806875,577.521484375
499,F062_017.wav,16000,272800,17.05,532.8125
500,F062_018.wav,16000,221934,13.870875,433.46484375
501,F005_011.wav,16000,97688,6.1055,190.796875
502,F005_014.wav,16000,91325,5.7078125,178.369140625
503,F005_013.wav,16000,82152,5.1345,160.453125
504,F005_012.wav,16000,94001,5.8750625,183.595703125
505,F006_008.wav,16000,252385,15.7740625,492.939453125
506,F006_013.wav,16000,302118,18.882375,590.07421875
507,F006_004.wav,16000,245255,15.3284375,479.013671875
508,F006_007.wav,16000,215098,13.443625,420.11328125
509,F006_015.wav,16000,299054,18.690875,584.08984375
510,F006_003.wav,16000,208740,13.04625,407.6953125
511,F006_014.wav,16000,229247,14.3279375,447.748046875
512,F006_011.wav,16000,232804,14.55025,454.6953125
513,F006_001.wav,16000,227630,14.226875,444.58984375
514,F006_002.wav,16000,225894,14.118375,441.19921875
515,F006_009.wav,16000,273680,17.105,534.53125
516,F006_005.wav,16000,333527,20.8454375,651.419921875
517,F006_012.wav,16000,247184,15.449,482.78125
518,F006_010.wav,16000,199215,12.4509375,389.091796875
